Routine,Input,Approach,ArraySize,nodes,iteration,Runtime(s)
Relhum,Xarray with Dask array input,numpy,10000000,1,1,1.0492825508117676
Relhum,Xarray with Dask array input,numpy,10000000,1,2,0.8564333915710449
Relhum,Xarray with Dask array input,numpy,10000000,1,3,0.8859350681304932
Relhum,Xarray with Dask array input,numpy,10000000,1,4,0.8753848075866699
Relhum,Xarray with Dask array input,numpy,10000000,1,5,0.8509335517883301
Relhum,Xarray with Dask array input,numpy,10000000,1,6,0.910930633544922
Relhum,Xarray with Dask array input,numpy,10000000,1,7,0.8662405014038086
Relhum,Xarray with Dask array input,numpy,10000000,1,8,0.8371076583862305
Relhum,Xarray with Dask array input,numpy,10000000,1,9,0.4944577217102051
Relhum,Xarray with Dask array input,numpy,10000000,1,10,0.8389112949371338
Relhum,Xarray with Dask array input,numpy,10000000,2,1,1.249159574508667
Relhum,Xarray with Dask array input,numpy,10000000,2,2,2.071993827819824
Relhum,Xarray with Dask array input,numpy,10000000,2,3,1.6024839878082275
Relhum,Xarray with Dask array input,numpy,10000000,2,4,0.920928955078125
Relhum,Xarray with Dask array input,numpy,10000000,2,5,0.9492909908294678
Relhum,Xarray with Dask array input,numpy,10000000,2,6,1.3965139389038086
Relhum,Xarray with Dask array input,numpy,10000000,2,7,1.2663969993591309
Relhum,Xarray with Dask array input,numpy,10000000,2,8,1.3255395889282229
Relhum,Xarray with Dask array input,numpy,10000000,2,9,1.5166876316070557
Relhum,Xarray with Dask array input,numpy,10000000,2,10,0.907007932662964
Relhum,Xarray with Dask array input,numpy,10000000,3,1,2.2675728797912598
Relhum,Xarray with Dask array input,numpy,10000000,3,2,1.1704213619232178
Relhum,Xarray with Dask array input,numpy,10000000,3,3,0.9912726879119873
Relhum,Xarray with Dask array input,numpy,10000000,3,4,1.0219721794128418
Relhum,Xarray with Dask array input,numpy,10000000,3,5,0.9584007263183594
Relhum,Xarray with Dask array input,numpy,10000000,3,6,0.9877159595489502
Relhum,Xarray with Dask array input,numpy,10000000,3,7,1.0129997730255127
Relhum,Xarray with Dask array input,numpy,10000000,3,8,1.0139319896697998
Relhum,Xarray with Dask array input,numpy,10000000,3,9,1.00730299949646
Relhum,Xarray with Dask array input,numpy,10000000,3,10,0.9485821723937988
